Estado,Total,Created At,Tipo,Serie Folio
finalizada,6499.0,2022-05-18T15:14:48Z,venta,V
finalizada,7998.9952,2022-05-18T15:18:16Z,venta,V
finalizada,6498.9996,2022-05-18T15:37:42Z,venta,V
finalizada,6498.9996,2022-05-18T15:48:51Z,venta,V
finalizada,0.0,2022-05-18T16:01:45Z,venta,V
finalizada,489.9956,2022-05-18T16:06:36Z,venta,V
finalizada,6499.0,2022-05-18T16:32:44Z,venta,V
finalizada,499.9948,2022-05-18T16:45:00Z,venta,V
finalizada,54688.0002,2022-05-19T09:17:21Z,venta,V
finalizada,62089.0001,2022-05-19T09:37:17Z,venta,V
finalizada,6499.0,2022-05-19T10:56:33Z,venta,V
finalizada,220.0,2022-05-19T11:00:51Z,venta,V
finalizada,489.9956,2022-05-19T11:27:39Z,venta,V
finalizada,6498.9996,2022-05-19T11:27:47Z,venta,V
finalizada,6499.0,2022-05-19T11:34:45Z,venta,V
finalizada,0.0,2022-05-19T11:39:16Z,venta,V
finalizada,989.9904,2022-05-19T11:44:32Z,venta,V
finalizada,0.0,2022-05-19T11:46:55Z,venta,V
finalizada,454.5,2022-05-19T13:57:49Z,venta,V
finalizada,7495.0,2022-05-19T15:05:32Z,venta,V
finalizada,989.9904,2022-05-19T15:08:43Z,venta,V
finalizada,989.9904,2022-05-19T15:11:03Z,venta,V
finalizada,989.9904,2022-05-19T15:12:21Z,venta,V
finalizada,7199.0,2022-05-19T15:15:01Z,venta,V
finalizada,6598.9896,2022-05-19T15:40:22Z,venta,V
finalizada,0.0,2022-05-19T15:50:33Z,venta,V
finalizada,5598.9949,2022-05-19T15:58:24Z,venta,V
finalizada,300.0,2022-05-19T16:03:51Z,venta,V
finalizada,6499.0,2022-05-19T16:13:03Z,venta,V
finalizada,0.0,2022-05-19T16:17:46Z,venta,V
finalizada,0.0,2022-05-19T17:30:03Z,venta,V
finalizada,0.0,2022-05-19T18:01:31Z,venta,V
finalizada,5199.0001,2022-05-19T18:06:48Z,venta,V
finalizada,14297.9999,2022-05-20T09:57:02Z,venta,V
finalizada,6499.0,2022-05-20T10:08:50Z,venta,V
finalizada,660.0,2022-05-20T10:18:52Z,venta,V
finalizada,6499.0,2022-05-20T10:38:40Z,venta,V
finalizada,6498.9996,2022-05-20T10:59:58Z,venta,V
finalizada,0.0,2022-05-20T11:06:04Z,venta,V
finalizada,0.0,2022-05-20T11:17:41Z,venta,V
finalizada,0.0,2022-05-20T11:39:27Z,venta,V
finalizada,399.0,2022-05-20T12:24:05Z,venta,V
finalizada,6499.0,2022-05-20T12:27:11Z,venta,V
finalizada,4798.9896,2022-05-20T13:51:32Z,venta,V
finalizada,0.0,2022-05-20T14:15:11Z,venta,V
finalizada,264.9999,2022-05-20T14:19:11Z,venta,V
finalizada,190.0,2022-05-20T14:20:24Z,venta,V
finalizada,0.0,2022-05-20T14:27:37Z,venta,V
finalizada,519.9997,2022-05-20T15:09:44Z,venta,V
finalizada,990.06,2022-05-20T15:40:46Z,venta,V
finalizada,4299.0,2022-05-20T15:55:47Z,venta,V
finalizada,5598.9949,2022-05-20T16:07:58Z,venta,V
finalizada,5398.9996,2022-05-20T17:23:37Z,venta,V
finalizada,190.0,2022-05-20T17:27:47Z,venta,V
finalizada,190.0,2022-05-20T17:43:16Z,venta,V
finalizada,6499.0,2022-05-20T18:07:37Z,venta,V
finalizada,220.0,2022-05-21T12:53:34Z,venta,V
finalizada,0.0,2022-05-21T13:13:49Z,venta,V
finalizada,6499.0,2022-05-21T13:37:41Z,venta,V
finalizada,880.0,2022-05-21T13:47:06Z,venta,V
finalizada,6499.0,2022-05-21T13:48:03Z,venta,V
finalizada,1889.9999,2022-05-21T13:52:47Z,venta,V
finalizada,251.9993,2022-05-21T13:56:39Z,venta,V
finalizada,519.9997,2022-05-21T14:17:36Z,venta,V
finalizada,0.0,2022-05-21T14:26:03Z,venta,V
finalizada,6499.0,2022-05-21T15:04:11Z,venta,V
finalizada,3390.0,2022-05-23T09:41:33Z,venta,V
finalizada,6498.9996,2022-05-23T10:02:07Z,venta,V
finalizada,250.0,2022-05-23T10:12:31Z,venta,V
finalizada,250.0,2022-05-23T10:15:40Z,venta,V
finalizada,5899.6324,2022-05-23T10:47:36Z,venta,V
finalizada,8798.0,2022-05-23T10:55:35Z,venta,V
finalizada,990.06,2022-05-23T11:23:14Z,venta,V
finalizada,220.0,2022-05-23T11:29:58Z,venta,V
finalizada,220.0,2022-05-23T11:36:49Z,venta,V
finalizada,7199.0,2022-05-23T11:58:59Z,venta,V
finalizada,180.0002,2022-05-23T12:05:59Z,venta,V
finalizada,6499.0,2022-05-23T12:48:53Z,venta,V
finalizada,220.0,2022-05-23T13:16:38Z,venta,V
finalizada,6499.0,2022-05-23T14:10:21Z,venta,V
finalizada,220.0,2022-05-23T14:40:08Z,venta,V
finalizada,220.0,2022-05-23T14:56:45Z,venta,V
finalizada,2030.0603,2022-05-23T15:50:52Z,venta,V
finalizada,0.0,2022-05-23T16:05:48Z,venta,V
finalizada,0.0,2022-05-23T17:22:45Z,venta,V
finalizada,790.0,2022-05-23T17:40:00Z,venta,V
finalizada,470.0001,2022-05-24T11:09:25Z,venta,V
finalizada,5913.6548,2022-05-24T11:45:54Z,venta,V
finalizada,5899.6324,2022-05-24T12:24:27Z,venta,V
finalizada,6799.0035,2022-05-24T12:30:43Z,venta,V
finalizada,4898.9932,2022-05-24T13:00:02Z,venta,V
finalizada,7199.0,2022-05-24T13:08:49Z,venta,V
finalizada,489.9956,2022-05-24T14:01:52Z,venta,V
finalizada,6499.0,2022-05-24T15:18:11Z,venta,V
finalizada,5398.9996,2022-05-24T15:35:16Z,venta,V
finalizada,310.0001,2022-05-24T16:09:48Z,venta,V
finalizada,6499.0,2022-05-24T16:20:28Z,venta,V
finalizada,0.0,2022-05-24T17:14:26Z,venta,V
finalizada,990.06,2022-05-24T18:05:05Z,venta,V
finalizada,0.0,2022-05-25T09:39:58Z,venta,V
finalizada,0.0,2022-05-25T09:55:15Z,venta,V
finalizada,220.0,2022-05-25T10:41:37Z,venta,V
finalizada,620.0,2022-05-25T11:05:23Z,venta,V
finalizada,5398.9999,2022-05-25T12:12:48Z,venta,V
finalizada,7548.9996,2022-05-25T12:30:28Z,venta,V
finalizada,699.9999,2022-05-25T13:01:59Z,venta,V
finalizada,489.9956,2022-05-25T13:22:38Z,venta,V
finalizada,14184.1108,2022-05-25T14:51:48Z,venta,V
finalizada,10398.0001,2022-05-25T15:21:45Z,venta,V
finalizada,0.0,2022-05-25T15:35:17Z,venta,V
finalizada,0.0,2022-05-25T16:26:29Z,venta,V
finalizada,4299.0,2022-05-25T16:51:51Z,venta,V
finalizada,5608.07,2022-05-25T16:58:18Z,venta,V
finalizada,990.06,2022-05-25T16:59:42Z,venta,V
finalizada,220.0,2022-05-25T17:03:38Z,venta,V
finalizada,279.9976,2022-05-25T17:08:44Z,venta,V
finalizada,220.0,2022-05-25T17:12:37Z,venta,V
finalizada,190.0,2022-05-25T17:17:45Z,venta,V
finalizada,6198.9933,2022-05-25T17:26:29Z,venta,V
finalizada,60.0001,2022-05-25T17:36:09Z,venta,V
finalizada,1260.0,2022-05-25T17:52:27Z,venta,V
finalizada,6498.9996,2022-05-25T18:24:54Z,venta,V
finalizada,6499.0,2022-05-26T09:42:04Z,venta,V
finalizada,4099.0,2022-05-26T10:30:56Z,venta,V
finalizada,1320.0,2022-05-26T12:07:52Z,venta,V
finalizada,1590.012,2022-05-26T13:35:54Z,venta,V
finalizada,0.0,2022-05-26T14:32:15Z,venta,V
finalizada,1210.06,2022-05-26T14:42:25Z,venta,V
finalizada,6499.0,2022-05-26T15:24:55Z,venta,V
finalizada,6498.9996,2022-05-26T16:11:26Z,venta,V
finalizada,220.0,2022-05-26T17:02:09Z,venta,V
finalizada,0.0,2022-05-26T17:13:24Z,venta,V
finalizada,5598.9949,2022-05-26T17:23:09Z,venta,V
finalizada,990.06,2022-05-26T17:25:51Z,venta,V
finalizada,3.02,2022-05-26T22:30:49Z,venta,V
finalizada,0.0,2022-05-26T22:35:02Z,venta,V
finalizada,440.0,2022-05-27T09:19:40Z,venta,V
finalizada,220.0,2022-05-27T09:32:23Z,venta,V
finalizada,6198.99,2022-05-27T11:17:08Z,venta,V
finalizada,6499.0,2022-05-27T11:43:09Z,venta,V
finalizada,5999.0,2022-05-27T11:57:34Z,venta,V
finalizada,0.0,2022-05-27T12:56:29Z,venta,V
finalizada,4898.99,2022-05-27T14:27:15Z,venta,V
finalizada,169.39,2022-05-27T16:00:35Z,venta,V
finalizada,220.0,2022-05-27T16:08:46Z,venta,V
finalizada,310.0,2022-05-27T16:30:35Z,venta,V
finalizada,375.0,2022-05-27T16:36:33Z,venta,V
finalizada,6499.0,2022-05-27T17:26:57Z,venta,V
finalizada,48890.0,2022-05-27T17:39:31Z,venta,V
finalizada,6499.0,2022-05-27T18:17:53Z,venta,V
finalizada,840.0,2022-05-28T09:46:23Z,venta,V
finalizada,220.0,2022-05-28T09:52:34Z,venta,V
finalizada,450.0,2022-05-28T10:26:19Z,venta,V
finalizada,220.0,2022-05-28T10:29:45Z,venta,V
finalizada,220.0,2022-05-28T11:07:46Z,venta,V
finalizada,4099.0,2022-05-28T11:32:05Z,venta,V
finalizada,990.06,2022-05-28T11:56:18Z,venta,V
finalizada,990.06,2022-05-28T12:27:22Z,venta,V
finalizada,6499.0,2022-05-28T12:41:00Z,venta,V
finalizada,2400.0,2022-05-28T12:48:42Z,venta,V
finalizada,500.0,2022-05-28T13:36:37Z,venta,V
finalizada,600.0,2022-05-28T14:13:25Z,venta,V
